locus_tag	gene_name	type	aerobic_T1 - aerobic_T0	aerobic_T2 - aerobic_T0	aerobic_T3 - aerobic_T0	anaerobic_T1 - anaerobic_T0	anaerobic_T2 - anaerobic_T0	anaerobic_T3 - anaerobic_T0	aerobic_T1 - anaerobic_T1	aerobic_T2 - anaerobic_T2	aerobic_T3 - anaerobic_T3
ZMO1_ZMOp36x028		perfect	9.77390785177165e-06	2.7192112454379e-12	1.23575854794709e-13	7.27316027797443e-05	6.59438573538129e-13	1.53302736471989e-16	0.384121817229434	0.799472176373683	2.6584226552853e-05
ZMO1_ZMOp36x029		perfect	7.41034390685551e-17	1.15968950256044e-31	1.64758201282849e-34	2.72868882630157e-15	2.03242244251617e-35	5.39004725775751e-39	0.774816945662353	0.00495782995919235	1
ZMO1_ZMOp36x030		perfect	0.173646942364054	0.390686904315837	0.336636708779125	0.775998947736834	0.00158418755860577	0.264749231182323	0.710465142249565	0.197415332037015	0.109766973981389
ZMO1_ZMOp36x031		perfect	0.0375799513447316	3.47090757804734e-12	1.61907956307381e-19	0.0350893340947036	2.24242056876424e-19	1.33182934882033e-27	0.766766139113921	0.00791817112138369	1.50862402257121e-18
ZMO1_ZMOp36x032		perfect	5.26699239207023e-39	4.82082887575333e-50	1.1047857768726e-51	3.17307277986187e-41	1.28102644952517e-55	4.75547808021404e-57	0.223130858667684	4.42819547557296e-05	0.000487794523456759
ZMO1_ZMOp36x033		perfect	0.527707318278787	3.00408790378786e-05	1.54729039801572e-05	0.522597686190343	1.01601351869527e-06	9.35529501553904e-11	0.283189753913591	1	2.92571912450673e-06
ZMO1_ZMOp36x034		perfect	0.981113570786397	0.00706241136929564	7.52610687970342e-07	0.711909038993726	0.00216645197220568	0.000362006909379066	0.492352919161894	0.204471146167847	0.0031072859385315
ZMO1_ZMOp36x035		perfect	0.821191396472643	0.487568256107903	3.21429169439543e-06	0.278758917640445	0.356346466483333	0.639078647091624	0.0655853802840026	0.289148500928865	3.3400355288126e-05
ZMO1_ZMOp36x036		perfect	0.161090046694024	1.22858227503151e-05	0.00972342480854362	0.416527381461953	3.85055953741491e-05	7.86241775994517e-06	0.5707148440224	0.661288305205356	0.000441539824209445
ZMO1_ZMOp36x037		perfect	0.0342429512784595	9.34064625924078e-09	0.000807987839943943	0.571575359489255	2.40905214364672e-13	2.23063186852833e-16	0.762417419802734	1.68535705583262e-05	4.13989248849895e-17
ZMO1_ZMOp36x038		perfect	0.798571172071916	0.00057962771526158	0.000155165394382964	0.966296269884105	3.0975910737055e-08	1.93006433434175e-09	0.640430732802049	0.0194370553047029	0.139192837724597
ZMO1_ZMOp36x039		perfect	0.0687373699589226	6.28849094790669e-20	1.21886299566129e-20	0.14919405413891	3.02907152353083e-19	3.18098966523821e-26	0.924688424993672	0.0215176268589184	1.71643582419448e-08
ZMO1_ZMOp36x040		perfect	0.0614995901504462	4.81742753718405e-33	2.07684890010264e-38	0.16383569771513	1.18504389531349e-36	1.02480172835044e-46	0.618953765911058	0.016050803318695	1.35171376954105e-07
ZMO1_ZMOp36x041		perfect	0.358400550184369	9.39560176940408e-08	0.00104440984813241	0.507524367072969	1.27300554613589e-12	5.93789527727341e-16	0.113622905342741	3.05578448387579e-13	2.12054755281833e-21
ZMO1_ZMOp36x042		perfect	0.450287213131091	4.73648067577963e-23	4.62062066044524e-23	0.0122716468775054	5.19008163933792e-24	9.05584432122177e-31	0.378358269933423	0.000115012377140033	9.87334209652124e-08
ZMO1_ZMOp36x043		perfect	0.042860419902717	1.05089467320067e-31	5.52958742623301e-34	0.00191516434623653	1.27793728811889e-42	9.08051981088656e-56	0.792246295817215	1.77404710546997e-07	5.29395159595492e-22
ZMO1_ZMOp36x044		perfect	0.0352576544870155	6.01359249564591e-22	2.09310967527032e-22	0.239676787828097	7.55896345727365e-30	2.08568315421581e-37	0.463508400128938	0.00011987689624748	5.24710524770856e-12
ZMO1_ZMOp36x045		perfect	0.809733347178674	3.07176985996435e-09	2.79485328636696e-12	0.697655759278066	1.93906402147975e-13	7.74680531905384e-17	0.999799791987575	0.295720068999379	0.000806186174745191
ZMO1_ZMOp36x046		perfect	0.836983509625892	1.32367930506321e-07	0.000465438252895471	0.953330881585642	4.98497670313744e-10	3.7314953854333e-16	0.866536921874456	0.0163646351085566	5.59516604768525e-12
ZMO1_ZMOp36x047		perfect	0.493715184172334	2.72470720732343e-16	1.73350713151411e-22	0.410841629050247	3.1614024535675e-17	4.39654203646067e-23	0.0266725330163267	1.38435340427275e-07	1.10567150843951e-13
ZMO1_ZMOp39x001		perfect	0.0444521256265569	1.62185753348367e-20	3.82254228160262e-18	0.011028749526851	4.91761229789127e-31	5.36815797629641e-39	0.543089773913075	6.33886711257066e-06	2.52290427016997e-17
ZMO1_ZMOp39x002		perfect	0.020946460857301	5.35405074153965e-09	3.88181402348982e-13	0.42047633528414	2.0599104600216e-10	1.45005106905573e-13	0.426907198069494	1	0.0174773788448892
ZMO1_ZMOp39x003		perfect	0.459746576453387	2.73271196938971e-10	3.51934557345715e-12	0.410397309752522	4.59094169220554e-16	3.02647690041636e-20	0.0242627031634575	4.27119807260631e-06	0.000171491073101274
